"","Code","ID","Date","Time","Day","Station","Min Delay","Min Gap","Bound","Line","Vehicle","Code Description","Station_Line"
"1","EUAC",1038,2025-01-16,17:14:00,"Thursday","KENNEDY BD STATION","3","6","W","BD","5047","Air Conditioning","KENNEDY BD STATION  -  BD"
"2","EUAC",611,2025-01-10,07:14:00,"Friday","KIPLING STATION","3","5","W","BD","5167","Air Conditioning","KIPLING STATION  -  BD"
"3","EUAC",1088,2025-01-17,11:18:00,"Friday","GREENWOOD STATION","3","6","W","BD","5252","Air Conditioning","GREENWOOD STATION  -  BD"
"4","EUAC",616,2025-01-10,08:50:00,"Friday","ROYAL YORK STATION","75","77","W","BD","5226","Air Conditioning","ROYAL YORK STATION  -  BD"
"5","EUAL",154,2025-01-03,12:10:00,"Friday","CASTLE FRANK STATION","5","9","W","BD","5074","Alternating Current","CASTLE FRANK STATION  -  BD"
"6","EUBK",864,2025-01-14,09:41:00,"Tuesday","FINCH STATION","3","5","S","YU","5391","Brakes","FINCH STATION  -  YU"
"7","EUBK",56,2025-01-02,05:54:00,"Thursday","WILSON STATION","3","6","S","YU","5521","Brakes","WILSON STATION  -  YU"
"8","EUBK",1616,2025-01-25,06:09:00,"Saturday","JANE STATION","6","11","E","BD","5306","Brakes","JANE STATION  -  BD"
"9","EUBK",1035,2025-01-16,16:14:00,"Thursday","EGLINTON WEST STATION","3","7","S","YU","5946","Brakes","EGLINTON WEST STATION  -  YU"
"10","EUBO",89,2025-01-02,16:14:00,"Thursday","KENNEDY BD STATION","3","6","E","BD","5105","Body","KENNEDY BD STATION  -  BD"
"11","EUBO",1561,2025-01-24,13:17:00,"Friday","KENNEDY BD STATION","5","8","E","BD","5077","Body","KENNEDY BD STATION  -  BD"
"12","EUCD",407,2025-01-07,15:51:00,"Tuesday","FINCH STATION","4","8","S","YU","5956","Consequential Delay (2nd Delay Same Fault)","FINCH STATION  -  YU"
"13","EUCD",1200,2025-01-19,14:11:00,"Sunday","EGLINTON STATION","4","8","S","YU","6041","Consequential Delay (2nd Delay Same Fault)","EGLINTON STATION  -  YU"
"14","EUCD",868,2025-01-14,10:53:00,"Tuesday","WILSON STATION","6","9","N","YU","5391","Consequential Delay (2nd Delay Same Fault)","WILSON STATION  -  YU"
"15","EUDO",805,2025-01-13,15:50:00,"Monday","YORK MILLS STATION","7","11","S","YU","5556","Door Problems - Faulty Equipment","YORK MILLS STATION  -  YU"
"16","EUDO",1206,2025-01-19,15:59:00,"Sunday","BAY STATION","9","13","E","BD","5061","Door Problems - Faulty Equipment","BAY STATION  -  BD"
"17","EUDO",812,2025-01-13,16:54:00,"Monday","SPADINA YUS STATION","13","18","S","YU","5461","Door Problems - Faulty Equipment","SPADINA YUS STATION  -  YU"
"18","EUDO",1806,2025-01-28,09:00:00,"Tuesday","SHEPPARD WEST STATION","10","12","S","YU","5516","Door Problems - Faulty Equipment","SHEPPARD WEST STATION  -  YU"
"19","EUDO",735,2025-01-12,08:21:00,"Sunday","DONLANDS STATION","3","None","W","BD","5154","Door Problems - Faulty Equipment","DONLANDS STATION  -  BD"
"20","EUDO",1999,2025-01-30,17:32:00,"Thursday","WILSON STATION","6","9","N","YU","5971","Door Problems - Faulty Equipment","WILSON STATION  -  YU"
"21","EUDO",249,2025-01-05,08:42:00,"Sunday","SUMMERHILL STATION","7","13","S","YU","6126","Door Problems - Faulty Equipment","SUMMERHILL STATION  -  YU"
"22","EUDO",1576,2025-01-24,16:11:00,"Friday","KIPLING STATION","3","6","E","BD","5099","Door Problems - Faulty Equipment","KIPLING STATION  -  BD"
"23","EUDO",1584,2025-01-24,17:55:00,"Friday","LAWRENCE STATION","17","20","S","YU","5866","Door Problems - Faulty Equipment","LAWRENCE STATION  -  YU"
"24","EUDO",176,2025-01-03,19:21:00,"Friday","HIGH PARK STATION","12","16","W","BD","5313","Door Problems - Faulty Equipment","HIGH PARK STATION  -  BD"
"25","EUDO",1642,2025-01-25,17:35:00,"Saturday","VICTORIA PARK STATION","12","16","W","BD","5134","Door Problems - Faulty Equipment","VICTORIA PARK STATION  -  BD"
"26","EUDO",2080,2025-01-31,18:09:00,"Friday","KIPLING STATION","6","9","E","BD","5243","Door Problems - Faulty Equipment","KIPLING STATION  -  BD"
"27","EUDO",2001,2025-01-30,17:40:00,"Thursday","SHEPPARD WEST STATION","6","10","N","YU","5971","Door Problems - Faulty Equipment","SHEPPARD WEST STATION  -  YU"
"28","EUDO",808,2025-01-13,16:35:00,"Monday","VICTORIA PARK STATION","7","10","W","BD","5347","Door Problems - Faulty Equipment","VICTORIA PARK STATION  -  BD"
"29","EUDO",486,2025-01-08,14:24:00,"Wednesday","KENNEDY BD STATION","4","8","W","BD","5025","Door Problems - Faulty Equipment","KENNEDY BD STATION  -  BD"
"30","EUDO",752,2025-01-12,17:09:00,"Sunday","UNION STATION TO ST AN","4","8","N","YU","5501","Door Problems - Faulty Equipment","UNION STATION TO ST AN  -  YU"
"31","EULV",1327,2025-01-21,07:33:00,"Tuesday","WILSON STATION","12","15","S","YU","6006","Low Voltage","WILSON STATION  -  YU"
"32","EUME",526,2025-01-09,06:23:00,"Thursday","EGLINTON STATION","3","6","N","YU","5641","RC&S Maintenance Error - (Human)","EGLINTON STATION  -  YU"
"33","EUME",1488,2025-01-23,14:18:00,"Thursday","VICTORIA PARK STATION","9","13","W","BD","5340","RC&S Maintenance Error - (Human)","VICTORIA PARK STATION  -  BD"
"34","EUNT",365,2025-01-06,01:34:00,"Monday","ST GEORGE BD STATION","13","18","W","BD","5299","Equipment - No Trouble Found","ST GEORGE BD STATION  -  BD"
"35","EUNT",380,2025-01-07,08:36:00,"Tuesday","BATHURST STATION","3","5","E","BD","5206","Equipment - No Trouble Found","BATHURST STATION  -  BD"
"36","EUNT",1620,2025-01-25,09:48:00,"Saturday","FINCH STATION","6","12","S","YU","5916","Equipment - No Trouble Found","FINCH STATION  -  YU"
"37","EUNT",332,2025-01-06,15:16:00,"Monday","JANE STATION","3","7","E","BD","5365","Equipment - No Trouble Found","JANE STATION  -  BD"
"38","EUNT",394,2025-01-07,12:30:00,"Tuesday","HIGH PARK STATION","4","8","W","BD","5365","Equipment - No Trouble Found","HIGH PARK STATION  -  BD"
"39","EUNT",1401,2025-01-22,07:08:00,"Wednesday","PAPE STATION","8","11","W","BD","5174","Equipment - No Trouble Found","PAPE STATION  -  BD"
"40","EUNT",549,2025-01-09,12:06:00,"Thursday","VAUGHAN MC STATION","5","10","S","YU","6111","Equipment - No Trouble Found","VAUGHAN MC STATION  -  YU"
"41","EUNT",650,2025-01-10,18:50:00,"Friday","RUNNYMEDE STATION","12","16","W","BD","5118","Equipment - No Trouble Found","RUNNYMEDE STATION  -  BD"
"42","EUNT",634,2025-01-10,13:58:00,"Friday","VICTORIA PARK STATION","14","18","W","BD","5186","Equipment - No Trouble Found","VICTORIA PARK STATION  -  BD"
"43","EUNT",1520,2025-01-23,22:39:00,"Thursday","FINCH STATION","6","12","N","YU","6096","Equipment - No Trouble Found","FINCH STATION  -  YU"
"44","EUNT",212,2025-01-04,12:05:00,"Saturday","KENNEDY BD STATION","4","8","W","BD","5141","Equipment - No Trouble Found","KENNEDY BD STATION  -  BD"
"45","EUNT",733,2025-01-12,07:47:00,"Sunday","LAWRENCE WEST STATION","24","None","S","YU","5851","Equipment - No Trouble Found","LAWRENCE WEST STATION  -  YU"
"46","EUNT",315,2025-01-06,09:34:00,"Monday","ROYAL YORK STATION","10","12","E","BD","5146","Equipment - No Trouble Found","ROYAL YORK STATION  -  BD"
"47","EUNT",1797,2025-01-28,06:29:00,"Tuesday","KENNEDY BD STATION","3","5","W","BD","5321","Equipment - No Trouble Found","KENNEDY BD STATION  -  BD"
"48","EUNT",1325,2025-01-21,07:17:00,"Tuesday","KENNEDY BD STATION","6","8","W","BD","5224","Equipment - No Trouble Found","KENNEDY BD STATION  -  BD"
"49","EUNT",1722,2025-01-27,05:58:00,"Monday","VICTORIA PARK STATION","4","9","W","BD","5190","Equipment - No Trouble Found","VICTORIA PARK STATION  -  BD"
"50","EUO",688,2025-01-11,11:47:00,"Saturday","VAUGHAN MC STATION","4","8","S","YU","6041","RC&S Other","VAUGHAN MC STATION  -  YU"
"51","EUO",1647,2025-01-25,19:20:00,"Saturday","ST GEORGE YUS STATION","5","10","N","YU","5971","RC&S Other","ST GEORGE YUS STATION  -  YU"
"52","EUO",1196,2025-01-19,11:07:00,"Sunday","FINCH STATION","10","14","S","YU","6041","RC&S Other","FINCH STATION  -  YU"
"53","EUO",1726,2025-01-27,06:26:00,"Monday","SHEPPARD WEST STATION","4","8","N","YU","5476","RC&S Other","SHEPPARD WEST STATION  -  YU"
"54","EUO",1615,2025-01-25,06:06:00,"Saturday","ST GEORGE YUS STATION","6","12","S","YU","5776","RC&S Other","ST GEORGE YUS STATION  -  YU"
"55","EUO",532,2025-01-09,08:38:00,"Thursday","LAWRENCE STATION","6","8","N","YU","5806","RC&S Other","LAWRENCE STATION  -  YU"
"56","EUO",174,2025-01-03,18:35:00,"Friday","COLLEGE STATION","11","13","S","YU","5706","RC&S Other","COLLEGE STATION  -  YU"
"57","EUO",1238,2025-01-20,06:38:00,"Monday","YORKDALE STATION","7","9","S","YU","5621","RC&S Other","YORKDALE STATION  -  YU"
"58","EUO",35,2025-01-01,18:21:00,"Wednesday","FINCH WEST STATION","6","12","S","YU","6041","RC&S Other","FINCH WEST STATION  -  YU"
"59","EUO",1751,2025-01-27,15:27:00,"Monday","DUNDAS STATION","6","11","S","YU","5616","RC&S Other","DUNDAS STATION  -  YU"
"60","EUO",608,2025-01-10,07:04:00,"Friday","EGLINTON STATION","8","10","N","YU","5796","RC&S Other","EGLINTON STATION  -  YU"
"61","EUPI",470,2025-01-08,07:44:00,"Wednesday","KIPLING STATION","3","5","E","BD","5206","Propulsion System","KIPLING STATION  -  BD"
"62","EUPI",464,2025-01-08,06:08:00,"Wednesday","VICTORIA PARK STATION","4","6","E","BD","5180","Propulsion System","VICTORIA PARK STATION  -  BD"
"63","EUSC",2104,2025-01-31,19:34:00,"Friday","BAYVIEW STATION","6","13","E","SHP","6181","Speed Control Equipment","BAYVIEW STATION  -  SHP"
"64","EUTL",605,2025-01-10,05:50:00,"Friday","FINCH STATION","4","8","S","YU","5722","Trainline System","FINCH STATION  -  YU"
"65","EUVE",1525,2025-01-23,01:40:00,"Thursday","EGLINTON STATION","17","23","N","YU","5506","Work Vehicle","EGLINTON STATION  -  YU"
"66","EUVE",191,2025-01-03,01:33:00,"Friday","DONLANDS STATION","5","10","W","BD","5301","Work Vehicle","DONLANDS STATION  -  BD"
"67","EUVE",1311,2025-01-20,01:25:00,"Monday","ROSEDALE STATION","17","23","S","YU","5441","Work Vehicle","ROSEDALE STATION  -  YU"
"68","EUVE",936,2025-01-15,05:56:00,"Wednesday","CHESTER STATION","3","None","W","BD","5009","Work Vehicle","CHESTER STATION  -  BD"
"69","EUVE",1618,2025-01-25,06:38:00,"Saturday","EGLINTON STATION","6","12","N","YU","6086","Work Vehicle","EGLINTON STATION  -  YU"
"70","MUATC",211,2025-01-04,12:03:00,"Saturday","VAUGHAN MC STATION","14","18","S","YU","5411","ATC Project","VAUGHAN MC STATION  -  YU"
"71","MUATC",1256,2025-01-20,12:15:00,"Monday","LAWRENCE WEST STATION","3","8","N","YU","5551","ATC Project","LAWRENCE WEST STATION  -  YU"
"72","MUATC",2040,2025-01-31,08:04:00,"Friday","FINCH STATION","3","6","S","YU","5426","ATC Project","FINCH STATION  -  YU"
"73","MUATC",2045,2025-01-31,10:26:00,"Friday","UNION STATION (TO ST A","4","8","N","YU","5631","ATC Project","UNION STATION (TO ST A  -  YU"
"74","MUCL",734,2025-01-12,08:05:00,"Sunday","GREENWOOD STATION","4","None","E","BD","5136","Divisional Clerk Related","GREENWOOD STATION  -  BD"
"75","MUCL",62,2025-01-02,08:10:00,"Thursday","WILSON STATION","3","6","S","YU","5416","Divisional Clerk Related","WILSON STATION  -  YU"
"76","MUCL",1927,2025-01-29,18:07:00,"Wednesday","COXWELL STATION","3","6","E","BD","None","Divisional Clerk Related","COXWELL STATION  -  BD"
"77","MUCL",1486,2025-01-23,13:52:00,"Thursday","DAVISVILLE STATION","5","10","S","YU","5746","Divisional Clerk Related","DAVISVILLE STATION  -  YU"
"78","MUCL",201,2025-01-04,06:02:00,"Saturday","KIPLING STATION","5","10","E","BD","5301","Divisional Clerk Related","KIPLING STATION  -  BD"
"79","MUD",1349,2025-01-21,14:23:00,"Tuesday","YORKDALE STATION","7","11","S","YU","5556","Door Problems - Passenger Related","YORKDALE STATION  -  YU"
"80","MUD",607,2025-01-10,06:53:00,"Friday","CHRISTIE STATION","4","6","W","BD","5330","Door Problems - Passenger Related","CHRISTIE STATION  -  BD"
"81","MUD",956,2025-01-15,13:27:00,"Wednesday","KENNEDY BD STATION","5","8","W","BD","5277","Door Problems - Passenger Related","KENNEDY BD STATION  -  BD"
"82","MUD",1851,2025-01-28,20:34:00,"Tuesday","BLOOR STATION","4","8","N","YU","5631","Door Problems - Passenger Related","BLOOR STATION  -  YU"
"83","MUD",1408,2025-01-22,09:16:00,"Wednesday","GREENWOOD STATION","6","9","W","BD","5239","Door Problems - Passenger Related","GREENWOOD STATION  -  BD"
"84","MUD",719,2025-01-11,22:21:00,"Saturday","QUEEN STATION","7","12","N","YU","6036","Door Problems - Passenger Related","QUEEN STATION  -  YU"
"85","MUD",1082,2025-01-17,09:16:00,"Friday","KIPLING STATION","3","6","W","BD","5001","Door Problems - Passenger Related","KIPLING STATION  -  BD"
"86","MUD",1600,2025-01-24,22:48:00,"Friday","HIGH PARK STATION","4","9","E","BD","5166","Door Problems - Passenger Related","HIGH PARK STATION  -  BD"
"87","MUD",539,2025-01-09,09:57:00,"Thursday","SPADINA YUS STATION","8","10","N","YU","5516","Door Problems - Passenger Related","SPADINA YUS STATION  -  YU"
"88","MUD",1032,2025-01-16,15:51:00,"Thursday","SHEPPARD STATION","4","8","N","YU","6016","Door Problems - Passenger Related","SHEPPARD STATION  -  YU"
"89","MUD",2087,2025-01-31,21:07:00,"Friday","UNION STATION TO KING","4","8","N","YU","5601","Door Problems - Passenger Related","UNION STATION TO KING  -  YU"
"90","MUD",638,2025-01-10,14:48:00,"Friday","ST GEORGE YUS STATION","6","10","S","YU","5516","Door Problems - Passenger Related","ST GEORGE YUS STATION  -  YU"
"91","MUD",405,2025-01-07,15:45:00,"Tuesday","DAVISVILLE STATION","3","7","S","YU","5461","Door Problems - Passenger Related","DAVISVILLE STATION  -  YU"
"92","MUDD",689,2025-01-11,11:57:00,"Saturday","EGLINTON WEST STATION","5","9","S","YU","5461","Door Problems - Debris Related","EGLINTON WEST STATION  -  YU"
"93","MUDD",1182,2025-01-18,23:43:00,"Saturday","OSGOODE STATION","17","23","S","YU","6051","Door Problems - Debris Related","OSGOODE STATION  -  YU"
"94","MUDD",706,2025-01-11,16:38:00,"Saturday","WOODBINE STATION","4","8","W","BD","5107","Door Problems - Debris Related","WOODBINE STATION  -  BD"
"95","MUDD",1053,2025-01-16,21:45:00,"Thursday","ROYAL YORK STATION","5","10","E","BD","5001","Door Problems - Debris Related","ROYAL YORK STATION  -  BD"
"96","MUDD",432,2025-01-07,21:01:00,"Tuesday","QUEEN'S PARK STATION","7","11","S","YU","5516","Door Problems - Debris Related","QUEEN'S PARK STATION  -  YU"
"97","MUDD",1434,2025-01-22,18:00:00,"Wednesday","UNION TO ST ANDREW","15","17","N","YU","6086","Door Problems - Debris Related","UNION TO ST ANDREW  -  YU"
"98","MUDD",716,2025-01-11,20:31:00,"Saturday","CASTLE FRANK STATION","3","8","W","BD","5107","Door Problems - Debris Related","CASTLE FRANK STATION  -  BD"
"99","MUDD",813,2025-01-13,16:58:00,"Monday","JANE STATION","3","7","E","BD","5356","Door Problems - Debris Related","JANE STATION  -  BD"
"100","MUDD",342,2025-01-06,17:12:00,"Monday","KIPLING STATION","3","6","E","BD","5308","Door Problems - Debris Related","KIPLING STATION  -  BD"
"101","MUDD",1204,2025-01-19,15:50:00,"Sunday","VICTORIA PARK STATION","3","7","E","BD","5300","Door Problems - Debris Related","VICTORIA PARK STATION  -  BD"
"102","MUDD",738,2025-01-12,08:39:00,"Sunday","GREENWOOD STATION","6","10","E","BD","5353","Door Problems - Debris Related","GREENWOOD STATION  -  BD"
"103","MUI",271,2025-01-05,18:18:00,"Sunday","CHRISTIE STATION","11","15","E","BD","5199","Injured or ill Customer (On Train) - Transported","CHRISTIE STATION  -  BD"
"104","MUI",1016,2025-01-16,10:31:00,"Thursday","BLOOR STATION","3","8","S","YU","6011","Injured or ill Customer (On Train) - Transported","BLOOR STATION  -  YU"
"105","MUI",1116,2025-01-17,20:06:00,"Friday","SHEPPARD WEST STATION","6","10","N","YU","5446","Injured or ill Customer (On Train) - Transported","SHEPPARD WEST STATION  -  YU"
"106","MUI",660,2025-01-10,21:17:00,"Friday","WOODBINE STATION","4","9","W","BD","5026","Injured or ill Customer (On Train) - Transported","WOODBINE STATION  -  BD"
"107","MUI",1483,2025-01-23,12:36:00,"Thursday","SHERBOURNE STATION","12","16","E","BD","5263","Injured or ill Customer (On Train) - Transported","SHERBOURNE STATION  -  BD"
"108","MUI",491,2025-01-08,15:16:00,"Wednesday","KENNEDY BD STATION","3","6","W","BD","5324","Injured or ill Customer (On Train) - Transported","KENNEDY BD STATION  -  BD"
"109","MUI",1565,2025-01-24,14:53:00,"Friday","WILSON STATION","5","10","N","YU","5641","Injured or ill Customer (On Train) - Transported","WILSON STATION  -  YU"
"110","MUI",1079,2025-01-17,08:26:00,"Friday","ST GEORGE BD STATION","54","57","E","BD","5163","Injured or ill Customer (On Train) - Transported","ST GEORGE BD STATION  -  BD"
"111","MUI",914,2025-01-14,22:49:00,"Tuesday","DUNDAS STATION","20","23","N","YU","5771","Injured or ill Customer (On Train) - Transported","DUNDAS STATION  -  YU"
"112","MUI",628,2025-01-10,11:54:00,"Friday","FINCH STATION","5","10","S","YU","5654","Injured or ill Customer (On Train) - Transported","FINCH STATION  -  YU"
"113","MUI",2049,2025-01-31,11:56:00,"Friday","BATHURST STATION","34","38","W","BD","5116","Injured or ill Customer (On Train) - Transported","BATHURST STATION  -  BD"
"114","MUI",1431,2025-01-22,16:39:00,"Wednesday","VICTORIA PARK STATION","13","16","E","BD","5276","Injured or ill Customer (On Train) - Transported","VICTORIA PARK STATION  -  BD"
"115","MUI",1853,2025-01-28,21:04:00,"Tuesday","OSGOODE STATION","4","8","N","YU","5961","Injured or ill Customer (On Train) - Transported","OSGOODE STATION  -  YU"
"116","MUI",1126,2025-01-17,22:52:00,"Friday","SPADINA BD STATION","34","39","E","BD","5029","Injured or ill Customer (On Train) - Transported","SPADINA BD STATION  -  BD"
"117","MUI",1968,2025-01-30,08:40:00,"Thursday","ROSEDALE STATION","8","10","S","YU","5866","Injured or ill Customer (On Train) - Transported","ROSEDALE STATION  -  YU"
"118","MUI",1868,2025-01-28,00:25:00,"Tuesday","EGLINTON STATION","4","11","N","YU","5381","Injured or ill Customer (On Train) - Transported","EGLINTON STATION  -  YU"
"119","MUI",1332,2025-01-21,08:39:00,"Tuesday","ROSEDALE STATION","10","13","S","YU","5546","Injured or ill Customer (On Train) - Transported","ROSEDALE STATION  -  YU"
"120","MUI",1285,2025-01-20,18:46:00,"Monday","FINCH STATION","4","8","S","YU","5421","Injured or ill Customer (On Train) - Transported","FINCH STATION  -  YU"
"121","MUI",147,2025-01-03,09:51:00,"Friday","SHEPPARD WEST STATION","18","21","S","YU","5546","Injured or ill Customer (On Train) - Transported","SHEPPARD WEST STATION  -  YU"
"122","MUI",1475,2025-01-23,09:19:00,"Thursday","BROADVIEW STATION","9","11","E","BD","5054","Injured or ill Customer (On Train) - Transported","BROADVIEW STATION  -  BD"
"123","MUI",990,2025-01-15,23:31:00,"Wednesday","COXWELL STATION","3","8","W","BD","5281","Injured or ill Customer (On Train) - Transported","COXWELL STATION  -  BD"
"124","MUI",1522,2025-01-23,23:48:00,"Thursday","DAVISVILLE STATION","6","12","S","YU","5551","Injured or ill Customer (On Train) - Transported","DAVISVILLE STATION  -  YU"
"125","MUI",695,2025-01-11,14:04:00,"Saturday","COLLEGE STATION","17","21","S","YU","5456","Injured or ill Customer (On Train) - Transported","COLLEGE STATION  -  YU"
"126","MUI",1104,2025-01-17,16:32:00,"Friday","EGLINTON WEST STATION","15","19","N","YU","6041","Injured or ill Customer (On Train) - Transported","EGLINTON WEST STATION  -  YU"
"127","MUI",1789,2025-01-27,20:20:00,"Monday","LESLIE STATION","16","23","E","SHP","6196","Injured or ill Customer (On Train) - Transported","LESLIE STATION  -  SHP"
"128","MUI",1753,2025-01-27,16:01:00,"Monday","FINCH WEST STATION","8","12","S","YU","5996","Injured or ill Customer (On Train) - Transported","FINCH WEST STATION  -  YU"
"129","MUI",264,2025-01-05,16:42:00,"Sunday","WARDEN STATION","18","22","E","BD","5346","Injured or ill Customer (On Train) - Transported","WARDEN STATION  -  BD"
"130","MUI",897,2025-01-14,19:48:00,"Tuesday","UNION STATION","4","8","S","YU","5401","Injured or ill Customer (On Train) - Transported","UNION STATION  -  YU"
"131","MUI",2061,2025-01-31,14:15:00,"Friday","LAWRENCE STATION","5","9","S","YU","6121","Injured or ill Customer (On Train) - Transported","LAWRENCE STATION  -  YU"
"132","MUI",542,2025-01-09,10:36:00,"Thursday","KIPLING STATION","4","8","E","BD","5260","Injured or ill Customer (On Train) - Transported","KIPLING STATION  -  BD"
"133","MUI",1749,2025-01-27,14:32:00,"Monday","WARDEN STATION","16","20","W","BD","5303","Injured or ill Customer (On Train) - Transported","WARDEN STATION  -  BD"
